tag,type,n,text,xml:id,who,lemma,ana,part,rendition,act,scene,onstage,stagegroup_raw,speaker
w,,1.3.13,so,fs-1h4-0056590,,so,#av,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#Worcester_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.13,portly,fs-1h4-0056610,,portly,#j,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#Worcester_1H4
pc,,1.3.13,.,fs-1h4-0056620,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#Worcester_1H4
sp,,,,sp-0345,{'#Northumberland_R2'},,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#Northumberland_R2
l,,1.3.14,,ftln-0345,,,#short,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#Northumberland_R2
w,,1.3.14,My,fs-1h4-0056640,,my,#po,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#Northumberland_R2
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.14,lord,fs-1h4-0056660,,lord,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#Northumberland_R2
pc,,1.3.14,—,fs-1h4-0056670,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#Northumberland_R2
sp,,,,sp-0346,{'#HenryIV_1H4'},,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
l,,1.3.15,,ftln-0346,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
w,,1.3.15,Worcester,fs-1h4-0056690,,Worcester,#n1-nn,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
pc,,1.3.15,",",fs-1h4-0056700,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.15,get,fs-1h4-0056720,,get,#vvb,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.15,thee,fs-1h4-0056740,,thou,#pno,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.15,gone,fs-1h4-0056760,,go,#vvn,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
pc,,1.3.15,",",fs-1h4-0056770,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.15,for,fs-1h4-0056790,,for,#acp-cs,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.15,I,fs-1h4-0056810,,i,#pns,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.15,do,fs-1h4-0056830,,do,#vvb,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.15,see,fs-1h4-0056850,,see,#vvi,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
l,,1.3.16,,ftln-0347,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
w,,1.3.16,Danger,fs-1h4-0056860,,danger,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.16,and,fs-1h4-0056880,,and,#cc,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.16,disobedience,fs-1h4-0056900,,disobedience,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.16,in,fs-1h4-0056920,,in,#acp-p,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.16,thine,fs-1h4-0056940,,thy,#po,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.16,eye,fs-1h4-0056960,,eye,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
pc,,1.3.16,.,fs-1h4-0056970,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
l,,1.3.17,,ftln-0348,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
w,,1.3.17,O,fs-1h4-0056980,,oh,#uh,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.17,sir,fs-1h4-0057000,,sir,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
pc,,1.3.17,",",fs-1h4-0057010,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.17,your,fs-1h4-0057030,,your,#po,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.17,presence,fs-1h4-0057050,,presence,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.17,is,fs-1h4-0057070,,be,#vvz,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.17,too,fs-1h4-0057090,,too,#av,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.17,bold,fs-1h4-0057110,,bold,#j,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.17,and,fs-1h4-0057130,,and,#cc,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.17,peremptory,fs-1h4-0057150,,peremptory,#j,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
pc,,1.3.17,",",fs-1h4-0057160,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
l,,1.3.18,,ftln-0349,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
w,,1.3.18,And,fs-1h4-0057170,,and,#cc,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.18,majesty,fs-1h4-0057190,,majesty,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.18,might,fs-1h4-0057210,,may,#vmd,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.18,never,fs-1h4-0057230,,never,#av-x,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.18,yet,fs-1h4-0057250,,yet,#av,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.18,endure,fs-1h4-0057270,,endure,#vvi,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
l,,1.3.19,,ftln-0350,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
w,,1.3.19,The,fs-1h4-0057280,,the,#d,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.19,moody,fs-1h4-0057300,,moody,#j,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.19,frontier,fs-1h4-0057320,,frontier,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.19,of,fs-1h4-0057340,,of,#acp-p,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.19,a,fs-1h4-0057360,,a,#d,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.19,servant,fs-1h4-0057380,,servant,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.19,brow,fs-1h4-0057400,,brow,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
pc,,1.3.19,.,fs-1h4-0057410,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
l,,1.3.20,,ftln-0351,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
w,,1.3.20,You,fs-1h4-0057420,,you,#pn,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.20,have,fs-1h4-0057440,,have,#vvb,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.20,good,fs-1h4-0057460,,good,#j,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.20,leave,fs-1h4-0057480,,leave,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.20,to,fs-1h4-0057500,,to,#acp-cs,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.20,leave,fs-1h4-0057520,,leave,#vvi,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.20,us,fs-1h4-0057540,,we,#pno,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
pc,,1.3.20,.,fs-1h4-0057550,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.20,When,fs-1h4-0057570,,when,#crq-cs,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.20,we,fs-1h4-0057590,,we,#pns,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.20,need,fs-1h4-0057610,,need,#vvb,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
l,,1.3.21,,ftln-0352,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
w,,1.3.21,Your,fs-1h4-0057620,,your,#po,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.21,use,fs-1h4-0057640,,use,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.21,and,fs-1h4-0057660,,and,#cc,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.21,counsel,fs-1h4-0057680,,counsel,#n1,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
pc,,1.3.21,",",fs-1h4-0057690,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.21,we,fs-1h4-0057710,,we,#pns,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.21,shall,fs-1h4-0057730,,shall,#vmb,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.21,send,fs-1h4-0057750,,send,#vvi,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.21,for,fs-1h4-0057770,,for,#acp-p,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,
w,,1.3.21,you,fs-1h4-0057790,,you,#pn,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
pc,,1.3.21,.,fs-1h4-0057800,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Worcester_1H4,8,#HenryIV_1H4
stage,exit,SD 1.3.21.1,,stg-0352.1,{'#Worcester_1H4'},,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,9,#HenryIV_1H4
w,,SD 1.3.21.1,Worcester,fs-1h4-0057810,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,9,#HenryIV_1H4
c,,, ,,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,9,
w,,SD 1.3.21.1,exits,fs-1h4-0057830,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,9,#HenryIV_1H4
pc,,SD 1.3.21.1,.,fs-1h4-0057840,,,,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,9,#HenryIV_1H4
l,,1.3.22,,ftln-0353,,,,I,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,9,#HenryIV_1H4
w,,1.3.22,You,fs-1h4-0057850,,you,#pn,,,1,3,#ATTENDANTS_1H4 #Blunt_1H4 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2,9,#HenryIV_1H4
