tag,type,n,text,xml:id,who,ana,lemma,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.25,that,fs-mm-0161360,,#cs,that,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.25,swoons,fs-mm-0161380,,#vvz,swoon,,,,2,4,#Angelo_MM,41,#Angelo_MM
pc,,2.4.25,",",fs-mm-0161390,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
l,,2.4.26,,ftln-1033,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
w,,2.4.26,Come,fs-mm-0161400,,#vvb,come,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.26,all,fs-mm-0161420,,#d,all,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.26,to,fs-mm-0161440,,#acp-cs,to,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.26,help,fs-mm-0161460,,#vvi,help,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.26,him,fs-mm-0161480,,#pno,he,,,,2,4,#Angelo_MM,41,#Angelo_MM
pc,,2.4.26,",",fs-mm-0161490,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.26,and,fs-mm-0161510,,#cc,and,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.26,so,fs-mm-0161530,,#av,so,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.26,stop,fs-mm-0161550,,#vvb,stop,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.26,the,fs-mm-0161570,,#d,the,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.26,air,fs-mm-0161590,,#n1,air,,,,2,4,#Angelo_MM,41,#Angelo_MM
l,,2.4.27,,ftln-1034,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
w,,2.4.27,By,fs-mm-0161600,,#acp-p,by,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.27,which,fs-mm-0161620,,#crq-r,which,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.27,he,fs-mm-0161640,,#pns,he,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.27,should,fs-mm-0161660,,#vmd,shall,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.27,revive,fs-mm-0161680,,#vvi,revive,,,,2,4,#Angelo_MM,41,#Angelo_MM
pc,,2.4.27,.,fs-mm-0161690,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.27,And,fs-mm-0161710,,#cc,and,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.27,even,fs-mm-0161730,,#av,even,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.27,so,fs-mm-0161750,,#av,so,,,,2,4,#Angelo_MM,41,#Angelo_MM
l,,2.4.28,,ftln-1035,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
w,,2.4.28,The,fs-mm-0161760,,#d,the,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.28,general,fs-mm-0161780,,#j,general,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.28,subject,fs-mm-0161800,,#j,subject,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.28,to,fs-mm-0161820,,#acp-p,to,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.28,a,fs-mm-0161840,,#d,a,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.28,well-wished,fs-mm-0161860,,#j,well-wished,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.28,king,fs-mm-0161880,,#n1,king,,,,2,4,#Angelo_MM,41,#Angelo_MM
l,,2.4.29,,ftln-1036,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
w,,2.4.29,Quit,fs-mm-0161890,,#vvb,quit,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.29,their,fs-mm-0161910,,#po,their,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.29,own,fs-mm-0161930,,#d,own,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.29,part,fs-mm-0161950,,#n1,part,,,,2,4,#Angelo_MM,41,#Angelo_MM
pc,,2.4.29,",",fs-mm-0161960,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.29,and,fs-mm-0161980,,#cc,and,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.29,in,fs-mm-0162000,,#acp-p,in,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.29,obsequious,fs-mm-0162020,,#j,obsequious,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.29,fondness,fs-mm-0162040,,#n1,fondness,,,,2,4,#Angelo_MM,41,#Angelo_MM
l,,2.4.30,,ftln-1037,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
w,,2.4.30,Crowd,fs-mm-0162050,,#vvb,crowd,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.30,to,fs-mm-0162070,,#acp-p,to,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.30,his,fs-mm-0162090,,#po,his,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.30,presence,fs-mm-0162110,,#n1,presence,,,,2,4,#Angelo_MM,41,#Angelo_MM
pc,,2.4.30,",",fs-mm-0162120,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.30,where,fs-mm-0162140,,#crq-cs,where,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.30,their,fs-mm-0162160,,#po,their,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.30,untaught,fs-mm-0162180,,#j_vn,untaught,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.30,love,fs-mm-0162200,,#n1,love,,,,2,4,#Angelo_MM,41,#Angelo_MM
l,,2.4.31,,ftln-1038,,,,I,,,2,4,#Angelo_MM,41,#Angelo_MM
w,,2.4.31,Must,fs-mm-0162210,,#vmb,must,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.31,needs,fs-mm-0162230,,#av,needs,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.31,appear,fs-mm-0162250,,#vvi,appear,,,,2,4,#Angelo_MM,41,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM,41,
w,,2.4.31,offense,fs-mm-0162270,,#n1,offence,,,,2,4,#Angelo_MM,41,#Angelo_MM
pc,,2.4.31,.,fs-mm-0162280,,,,,,,2,4,#Angelo_MM,41,#Angelo_MM
stage,entrance,SD 2.4.31.1,,stg-1038.1,{'#Isabella_MM'},,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
w,,SD 2.4.31.1,Enter,fs-mm-0162290,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,SD 2.4.31.1,Isabella,fs-mm-0162310,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
pc,,SD 2.4.31.1,.,fs-mm-0162320,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
l,,2.4.32,,ftln-1039,,,,F,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
w,,2.4.32,How,fs-mm-0162330,,#crq-cs,how,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.32,now,fs-mm-0162350,,#av,now,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
pc,,2.4.32,",",fs-mm-0162360,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.32,fair,fs-mm-0162380,,#j,fair,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.32,maid,fs-mm-0162400,,#n1,maid,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
pc,,2.4.32,?,fs-mm-0162410,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
sp,,,,sp-1040,{'#Isabella_MM'},,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
l,,2.4.33,,ftln-1040,,#short,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
w,,2.4.33,I,fs-mm-0162430,,#pns,i,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.33,am,fs-mm-0162450,,#vvm,be,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.33,come,fs-mm-0162470,,#vvn,come,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.33,to,fs-mm-0162490,,#acp-cs,to,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.33,know,fs-mm-0162510,,#vvi,know,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.33,your,fs-mm-0162530,,#po,your,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.33,pleasure,fs-mm-0162550,,#n1,pleasure,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
pc,,2.4.33,.,fs-mm-0162560,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
sp,,,,sp-1041,{'#Angelo_MM'},,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
l,,2.4.34,,ftln-1041,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
w,,2.4.34,That,fs-mm-0162580,,#cs,that,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.34,you,fs-mm-0162600,,#pn,you,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.34,might,fs-mm-0162620,,#vmd,may,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.34,know,fs-mm-0162640,,#vvi,know,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.34,it,fs-mm-0162660,,#pn,it,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.34,would,fs-mm-0162680,,#vmd,will,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.34,much,fs-mm-0162700,,#av_d,much,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.34,better,fs-mm-0162720,,#av-c_j,better,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.34,please,fs-mm-0162740,,#vvi,please,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.34,me,fs-mm-0162760,,#pno,i,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
l,,2.4.35,,ftln-1042,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
w,,2.4.35,Than,fs-mm-0162770,,#cs,than,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.35,to,fs-mm-0162790,,#acp-cs,to,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.35,demand,fs-mm-0162810,,#vvi,demand,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.35,what,fs-mm-0162830,,#crq-r,what,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.35,’tis,fs-mm-0162850,,#pn|vvz,it|be,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
pc,,2.4.35,.,fs-mm-0162860,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.35,Your,fs-mm-0162880,,#po,your,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.35,brother,fs-mm-0162900,,#n1,brother,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.35,cannot,fs-mm-0162920,,#vmb-x,can,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.35,live,fs-mm-0162940,,#vvi,live,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
pc,,2.4.35,.,fs-mm-0162950,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
sp,,,,sp-1043,{'#Isabella_MM'},,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
l,,2.4.36,,ftln-1043,,#short,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
w,,2.4.36,Even,fs-mm-0162970,,#av,even,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.36,so,fs-mm-0162990,,#av,so,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
pc,,2.4.36,.,fs-mm-0163000,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.36,Heaven,fs-mm-0163020,,#n1,heaven,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.36,keep,fs-mm-0163040,,#vvb,keep,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.36,your,fs-mm-0163060,,#po,your,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.36,Honor,fs-mm-0163080,,#n1,honour,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
pc,,2.4.36,.,fs-mm-0163090,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
sp,,,,sp-1044,{'#Angelo_MM'},,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
l,,2.4.37,,ftln-1044,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
w,,2.4.37,Yet,fs-mm-0163110,,#av,yet,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.37,may,fs-mm-0163130,,#vmb,may,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.37,he,fs-mm-0163150,,#pns,he,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.37,live,fs-mm-0163170,,#vvi,live,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.37,a,fs-mm-0163190,,#d,a,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.37,while,fs-mm-0163210,,#n1,while,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
pc,,2.4.37,.,fs-mm-0163220,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.37,And,fs-mm-0163240,,#cc,and,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.37,it,fs-mm-0163260,,#pn,it,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.37,may,fs-mm-0163280,,#vmb,may,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.37,be,fs-mm-0163300,,#vvi,be,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
l,,2.4.38,,ftln-1045,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
w,,2.4.38,As,fs-mm-0163310,,#acp-av,as,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.38,long,fs-mm-0163330,,#j,long,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.38,as,fs-mm-0163350,,#acp-cs,as,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.38,you,fs-mm-0163370,,#pn,you,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.38,or,fs-mm-0163390,,#cc,or,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.38,I,fs-mm-0163410,,#pns,i,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
pc,,2.4.38,.,fs-mm-0163420,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.38,Yet,fs-mm-0163440,,#av,yet,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.38,he,fs-mm-0163460,,#pns,he,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.38,must,fs-mm-0163480,,#vmb,must,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.38,die,fs-mm-0163500,,#vvi,die,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
pc,,2.4.38,.,fs-mm-0163510,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
sp,,,,sp-1046,{'#Isabella_MM'},,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
l,,2.4.39,,ftln-1046,,#short,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
w,,2.4.39,Under,fs-mm-0163530,,#acp-p,under,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.39,your,fs-mm-0163550,,#po,your,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.39,sentence,fs-mm-0163570,,#n1,sentence,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
pc,,2.4.39,?,fs-mm-0163580,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
sp,,,,sp-1047,{'#Angelo_MM'},,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
l,,2.4.40,,ftln-1047,,#short,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
w,,2.4.40,Yea,fs-mm-0163600,,#uh,yea,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
pc,,2.4.40,.,fs-mm-0163610,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Angelo_MM
sp,,,,sp-1048,{'#Isabella_MM'},,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
l,,2.4.41,,ftln-1048,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
w,,2.4.41,When,fs-mm-0163630,,#crq-q,when,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
pc,,2.4.41,",",fs-mm-0163640,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.41,I,fs-mm-0163660,,#pns,i,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.41,beseech,fs-mm-0163680,,#vvb,beseech,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.41,you,fs-mm-0163700,,#pn,you,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
pc,,2.4.41,?,fs-mm-0163710,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.41,That,fs-mm-0163730,,#cs,that,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.41,in,fs-mm-0163750,,#acp-p,in,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.41,his,fs-mm-0163770,,#po,his,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.41,reprieve,fs-mm-0163790,,#n1,reprieve,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
pc,,2.4.41,",",fs-mm-0163800,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
l,,2.4.42,,ftln-1049,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
w,,2.4.42,Longer,fs-mm-0163810,,#av-c_j,long,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.42,or,fs-mm-0163830,,#cc,or,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.42,shorter,fs-mm-0163850,,#j-c,short,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
pc,,2.4.42,",",fs-mm-0163860,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.42,he,fs-mm-0163880,,#pns,he,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.42,may,fs-mm-0163900,,#vmb,may,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.42,be,fs-mm-0163920,,#vvi,be,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
c,,, ,,,,,,,,2,4,#Angelo_MM #Isabella_MM,42,
w,,2.4.42,so,fs-mm-0163940,,#av,so,,,,2,4,#Angelo_MM #Isabella_MM,42,#Isabella_MM
