tag,type,n,text,xml:id,who,lemma,ana,rendition,part,act,scene,onstage,stagegroup_raw,speaker
w,,1.3.32,must,fs-wiv-0057230,,must,#vmb,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.32,shift,fs-wiv-0057250,,shift,#vvi,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.32,.,fs-wiv-0057260,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
sp,,,,sp-0353,{'#Pistol_2H4'},,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
p,,,,p-0353,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
lb,,1.3.33,,ftln-0353,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
w,,1.3.33,Young,fs-wiv-0057280,,young,#j,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.33,ravens,fs-wiv-0057300,,raven,#n2,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.33,must,fs-wiv-0057320,,must,#vmb,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.33,have,fs-wiv-0057340,,have,#vvi,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.33,food,fs-wiv-0057360,,food,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
pc,,1.3.33,.,fs-wiv-0057370,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
sp,,,,sp-0354,{'#Falstaff_1H4'},,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
p,,,,p-0354,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
lb,,1.3.34,,ftln-0354,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
w,,1.3.34,Which,fs-wiv-0057390,,which,#crq-q,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.34,of,fs-wiv-0057410,,of,#acp-p,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.34,you,fs-wiv-0057430,,you,#pn,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.34,know,fs-wiv-0057450,,know,#vvb,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.34,Ford,fs-wiv-0057470,,Ford,#n1-nn,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.34,of,fs-wiv-0057490,,of,#acp-p,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.34,this,fs-wiv-0057510,,this,#d,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.34,town,fs-wiv-0057530,,town,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.34,?,fs-wiv-0057540,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
sp,,,,sp-0355,{'#Pistol_2H4'},,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
p,,,,p-0355,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
lb,,1.3.35,,ftln-0355,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
w,,1.3.35,I,fs-wiv-0057560,,i,#pns,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.35,ken,fs-wiv-0057580,,ken,#vvb,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.35,the,fs-wiv-0057600,,the,#d,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.35,wight,fs-wiv-0057620,,wight,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
pc,,1.3.35,.,fs-wiv-0057630,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.35,He,fs-wiv-0057650,,he,#pns,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.35,is,fs-wiv-0057670,,be,#vvz,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.35,of,fs-wiv-0057690,,of,#acp-p,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.35,substance,fs-wiv-0057710,,substance,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.35,good,fs-wiv-0057730,,good,#j,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
pc,,1.3.35,.,fs-wiv-0057740,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
sp,,,,sp-0356,{'#Falstaff_1H4'},,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
p,,,,p-0356,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
lb,,1.3.36,,ftln-0356,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
w,,1.3.36,My,fs-wiv-0057760,,my,#po,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.36,honest,fs-wiv-0057780,,honest,#j,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.36,lads,fs-wiv-0057800,,lad,#n2,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.36,",",fs-wiv-0057810,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.36,I,fs-wiv-0057830,,i,#pns,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.36,will,fs-wiv-0057850,,will,#vmb,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.36,tell,fs-wiv-0057870,,tell,#vvi,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.36,you,fs-wiv-0057890,,you,#pn,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.36,what,fs-wiv-0057910,,what,#crq-r,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.36,I,fs-wiv-0057930,,i,#pns,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.36,am,fs-wiv-0057950,,be,#vvm,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
lb,,1.3.37,,ftln-0357,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
w,,1.3.37,about,fs-wiv-0057960,,about,#acp-av,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.37,.,fs-wiv-0057970,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
sp,,,,sp-0358,{'#Pistol_2H4'},,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
p,,,,p-0358,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
lb,,1.3.38,,ftln-0358,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
w,,1.3.38,Two,fs-wiv-0057990,,two,#crd,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.38,yards,fs-wiv-0058010,,yard,#n2,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.38,and,fs-wiv-0058030,,and,#cc,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.38,more,fs-wiv-0058050,,more,#av-c_d,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
pc,,1.3.38,.,fs-wiv-0058060,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Pistol_2H4
sp,,,,sp-0359,{'#Falstaff_1H4'},,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
p,,,,p-0359,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
lb,,1.3.39,,ftln-0359,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
w,,1.3.39,No,fs-wiv-0058080,,no,#d-x,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.39,quips,fs-wiv-0058100,,quip,#n2,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.39,now,fs-wiv-0058120,,now,#av,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.39,",",fs-wiv-0058130,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.39,Pistol,fs-wiv-0058150,,Pistol,#n1-nn,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.39,.,fs-wiv-0058160,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.39,Indeed,fs-wiv-0058180,,indeed,#av,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.39,",",fs-wiv-0058190,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.39,I,fs-wiv-0058210,,i,#pns,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.39,am,fs-wiv-0058230,,be,#vvm,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.39,in,fs-wiv-0058250,,in,#acp-p,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.39,the,fs-wiv-0058270,,the,#d,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
lb,,1.3.40,,ftln-0360,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
w,,1.3.40,waist,fs-wiv-0058280,,waist,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.40,two,fs-wiv-0058300,,two,#crd,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.40,yards,fs-wiv-0058320,,yard,#n2,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.40,about,fs-wiv-0058340,,about,#acp-p,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.40,",",fs-wiv-0058350,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.40,but,fs-wiv-0058370,,but,#acp-cc,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.40,I,fs-wiv-0058390,,i,#pns,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.40,am,fs-wiv-0058410,,be,#vvm,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.40,now,fs-wiv-0058430,,now,#av,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.40,about,fs-wiv-0058450,,about,#acp-p,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.40,no,fs-wiv-0058470,,no,#d-x,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
lb,,1.3.41,,ftln-0361,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
w,,1.3.41,waste,fs-wiv-0058480,,waste,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.41,;,fs-wiv-0058490,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,I,fs-wiv-0058510,,i,#pns,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,am,fs-wiv-0058530,,be,#vvm,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,about,fs-wiv-0058550,,about,#acp-p,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,thrift,fs-wiv-0058570,,thrift,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.41,.,fs-wiv-0058580,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,Briefly,fs-wiv-0058600,,brief,#av_j,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.41,",",fs-wiv-0058610,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,I,fs-wiv-0058630,,i,#pns,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,do,fs-wiv-0058650,,do,#vvb,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,mean,fs-wiv-0058670,,mean,#vvi,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,to,fs-wiv-0058690,,to,#acp-cs,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.41,make,fs-wiv-0058710,,make,#vvi,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
lb,,1.3.42,,ftln-0362,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
w,,1.3.42,love,fs-wiv-0058720,,love,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.42,to,fs-wiv-0058740,,to,#acp-p,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.42,Ford’s,fs-wiv-0058760,,Ford,#n1g-nn,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.42,wife,fs-wiv-0058780,,wife,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.42,.,fs-wiv-0058790,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.42,I,fs-wiv-0058810,,i,#pns,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.42,spy,fs-wiv-0058830,,spy,#vvb,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.42,entertainment,fs-wiv-0058850,,entertainment,#n1,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.42,in,fs-wiv-0058870,,in,#acp-p,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
w,,1.3.42,her,fs-wiv-0058890,,she,#pno,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
pc,,1.3.42,.,fs-wiv-0058900,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,#Falstaff_1H4
c,,, ,,,,,,,1,3,#Falstaff_1H4 #Nym_H5 #Pistol_2H4 #Robin_Wiv,18,
