tag,type,n,text,xml:id,who,ana,rendition,lemma,part,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.140,smells,fs-tit-0108110,,#vvz,,smell,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Chiron_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.140,of,fs-tit-0108130,,#acp-p,,of,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Chiron_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.140,no,fs-tit-0108150,,#d-x,,no,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Chiron_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.140,cowardice,fs-tit-0108170,,#n1,,cowardice,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Chiron_Tit
pc,,2.1.140,.,fs-tit-0108180,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Chiron_Tit
sp,,,,sp-0646,{'#Demetrius_Tit'},,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
l,,2.1.141,,ftln-0646,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
w,,2.1.141,Sit,fs-tit-0108200,,#fw-la,,sit,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.141,fas,fs-tit-0108220,,#fw-la,,fas,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.141,aut,fs-tit-0108240,,#fw-la,,aut,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.141,nefas,fs-tit-0108260,,#fw-la,,nefas,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
pc,,2.1.141,",",fs-tit-0108270,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.141,till,fs-tit-0108290,,#acp-cs,,till,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.141,I,fs-tit-0108310,,#pns,,i,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.141,find,fs-tit-0108330,,#vvb,,find,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.141,the,fs-tit-0108350,,#d,,the,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.141,stream,fs-tit-0108370,,#n1,,stream,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
l,,2.1.142,,ftln-0647,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
w,,2.1.142,To,fs-tit-0108380,,#acp-cs,,to,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.142,cool,fs-tit-0108400,,#vvi,,cool,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.142,this,fs-tit-0108420,,#d,,this,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.142,heat,fs-tit-0108440,,#n1,,heat,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
pc,,2.1.142,",",fs-tit-0108450,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.142,a,fs-tit-0108470,,#d,,a,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.142,charm,fs-tit-0108490,,#n1,,charm,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.142,to,fs-tit-0108510,,#acp-cs,,to,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.142,calm,fs-tit-0108530,,#vvi,,calm,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.142,these,fs-tit-0108550,,#d,,these,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.142,fits,fs-tit-0108570,,#n2,,fit,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
pc,,2.1.142,",",fs-tit-0108580,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
l,,2.1.143,,ftln-0648,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
w,,2.1.143,Per,fs-tit-0108590,,#fw-la,,per,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.143,Stygia,fs-tit-0108610,,#fw-la,,stygius,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
pc,,2.1.143,",",fs-tit-0108620,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.143,per,fs-tit-0108640,,#fw-la,,per,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.143,manes,fs-tit-0108660,,#fw-la,,manes,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
c,,, ,,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,
w,,2.1.143,vehor,fs-tit-0108680,,#fw-la,,vehor,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
pc,,2.1.143,.,fs-tit-0108690,,,,,,2,1,#Aaron_Tit #Chiron_Tit #Demetrius_Tit,24,#Demetrius_Tit
stage,exit,SD 2.1.143.1,,stg-0648.1,"{'#Demetrius_Tit', '#Aaron_Tit', '#Chiron_Tit'}",,,,,2,1,,25,
w,,SD 2.1.143.1,They,fs-tit-0108700,,,,,,2,1,,25,
c,,, ,,,,,,,2,1,,25,
w,,SD 2.1.143.1,exit,fs-tit-0108720,,,,,,2,1,,25,
pc,,SD 2.1.143.1,.,fs-tit-0108730,,,,,,2,1,,25,
div,scene,2,,,,,,,,2,2,,25,
stage,entrance,SD 2.2.0,,stg-0648.2,"{'#Martius_Tit', '#Titus_Tit', '#Lucius_Tit', '#Marcus_Tit', '#Quintus_Tit'}",,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,Enter,fs-tit-0108770,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,Titus,fs-tit-0108790,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,Andronicus,fs-tit-0108810,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,and,fs-tit-0108830,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,his,fs-tit-0108850,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,three,fs-tit-0108870,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,sons,fs-tit-0108890,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
pc,,SD 2.2.0,",",fs-tit-0108900,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,and,fs-tit-0108920,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,Marcus,fs-tit-0108930,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
pc,,SD 2.2.0,",",fs-tit-0108940,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
stage,sound,SD 2.2.0,,snd-0648.2,,hunting horn,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,making,fs-tit-0108960,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,a,fs-tit-0108980,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,noise,fs-tit-0109000,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,with,fs-tit-0109020,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,hounds,fs-tit-0109040,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,and,fs-tit-0109060,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,SD 2.2.0,horns,fs-tit-0109080,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
pc,,SD 2.2.0,.,fs-tit-0109090,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
sp,,,,sp-0649,{'#Titus_Tit'},,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
l,,2.2.1,,ftln-0649,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
w,,2.2.1,The,fs-tit-0109110,,#d,,the,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.1,hunt,fs-tit-0109130,,#n1,,hunt,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.1,is,fs-tit-0109150,,#vvz,,be,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.1,up,fs-tit-0109170,,#acp-av,,up,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
pc,,2.2.1,",",fs-tit-0109180,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.1,the,fs-tit-0109200,,#d,,the,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.1,moon,fs-tit-0109220,,#n1,,morn,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.1,is,fs-tit-0109240,,#vvz,,be,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.1,bright,fs-tit-0109260,,#j,,bright,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.1,and,fs-tit-0109280,,#cc,,and,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.1,gray,fs-tit-0109300,,#j,,gray,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
pc,,2.2.1,",",fs-tit-0109310,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
l,,2.2.2,,ftln-0650,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
w,,2.2.2,The,fs-tit-0109320,,#d,,the,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.2,fields,fs-tit-0109340,,#n2,,field,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.2,are,fs-tit-0109360,,#vvb,,be,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.2,fragrant,fs-tit-0109380,,#j,,fragrant,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
pc,,2.2.2,",",fs-tit-0109390,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.2,and,fs-tit-0109410,,#cc,,and,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.2,the,fs-tit-0109430,,#d,,the,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.2,woods,fs-tit-0109450,,#n2,,wood,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.2,are,fs-tit-0109470,,#vvb,,be,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.2,green,fs-tit-0109490,,#j,,green,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
pc,,2.2.2,.,fs-tit-0109500,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
l,,2.2.3,,ftln-0651,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
w,,2.2.3,Uncouple,fs-tit-0109510,,#vvd,,uncouple,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.3,here,fs-tit-0109530,,#av,,here,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
pc,,2.2.3,",",fs-tit-0109540,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.3,and,fs-tit-0109560,,#cc,,and,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.3,let,fs-tit-0109580,,#vvb,,let,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.3,us,fs-tit-0109600,,#pno,,we,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.3,make,fs-tit-0109620,,#vvi,,make,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.3,a,fs-tit-0109640,,#d,,a,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.3,bay,fs-tit-0109660,,#n1,,bay,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
l,,2.2.4,,ftln-0652,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
w,,2.2.4,And,fs-tit-0109670,,#cc,,and,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.4,wake,fs-tit-0109690,,#vvb,,wake,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.4,the,fs-tit-0109710,,#d,,the,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.4,Emperor,fs-tit-0109730,,#n1,,emperor,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.4,and,fs-tit-0109750,,#cc,,and,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.4,his,fs-tit-0109770,,#po,,his,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.4,lovely,fs-tit-0109790,,#j,,lovely,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.4,bride,fs-tit-0109810,,#n1,,bride,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
pc,,2.2.4,",",fs-tit-0109820,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
l,,2.2.5,,ftln-0653,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
w,,2.2.5,And,fs-tit-0109830,,#cc,,and,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.5,rouse,fs-tit-0109850,,#vvb,,rouse,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.5,the,fs-tit-0109870,,#d,,the,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
w,,2.2.5,Prince,fs-tit-0109890,,#n1,,prince,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
pc,,2.2.5,",",fs-tit-0109900,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,#Titus_Tit
c,,, ,,,,,,,2,2,#Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Titus_Tit,26,
